global_id,Name,AdmArea,District,Address,Photo,Capacity,DepartmentalAffiliation,ObjectOperOrgName,ObjectOperOrgPhone,Longitude,Latitude
14020811,Велосипедная парковка № 38003 «Гимназия № 201 »,Северный административный округ,Войковский,"улица Зои и Александра Космодемьянских, 3 корпус 1",c687b7a8-7062-4225-9923-2e9644063d65,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.504622,55.821963
14020813,Велосипедная парковка № 38005 «Школа № 212 »,Северный административный округ,Коптево,"проезд 4-й Новомихалковский, 9А",f4fffa4c-8b01-4618-9f86-42b6ac0bf0de,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.542242,55.842415
14020814,Велосипедная парковка № 38006 «Школа № 215 »,Северный административный округ,Коптево,"переулок 3-й Михалковский, 16",a8ae7f0e-a711-4c55-9bbe-9d1baff7bfc2,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.527200,55.836591
14020815,Велосипедная парковка № 38007 «Школа № 660 »,Северный административный округ,Западное Дегунино,"улица Дегунинская, 18",8bff1265-2667-48f5-9ef6-fd2c2f9371be,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.534191,55.867698
14020817,Велосипедная парковка № 38009 «Школа № 694 »,Северный административный округ,Савёловский,"улица 2-я Хуторская, 15",d87a356c-1b5d-4cca-9a2b-1d3729041dd7,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.575990,55.806477
14020818,Велосипедная парковка № 38010 «Гимназия № 727 »,Северный административный округ,Головинский,"переулок 3-й Лихачевский, 2 А",a42092de-eb5e-4d4b-85d1-e56d3bb8067d,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.517188,55.847548
14020819,Велосипедная парковка № 38011 «Школа № 847 »,Северный административный округ,Дмитровский,"шоссе Коровинское, 24 А",bca239d0-21a6-477a-a021-b35ed7ff8777,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.522476,55.882861
14020820,Велосипедная парковка № 38012 «Школа № 849»,Северный административный округ,Бескудниковский,"бульвар Бескудниковский, 50 А",133f9ab5-8445-4000-b965-ad7db5aaf29f,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.539706,55.875969
14020821,Велосипедная парковка № 38013 «Гимназия № 1159 »,Северный административный округ,Головинский,"Проезд Солнечногорский, 7",213f34e7-f6b7-4946-bd64-cf0ff813db93,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.523119,55.859726
14020822,Велосипедная парковка № 38014 «Школа № 1224 »,Северный административный округ,Западное Дегунино,"улица Базовская, 20А, строение 1",992706d0-40da-472b-9905-e88d928ab0fb,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.513842,55.879126
14020823,Велосипедная парковка № 38015 «Школа № 1249»,Северный административный округ,Сокол,"переулок Чапаевский, 6 строение 2",e0722fe9-b35f-4e61-8160-252a7edc9a1a,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.518267,55.801024
14020824,Велосипедная парковка № 38016 «Гимназия № 1315 »,Северный административный округ,Головинский,"Проезд Конаковский, 5",2157f853-1991-4674-a024-662b3c957fed,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.481532,55.846642
14020825,Велосипедная парковка № 38017 «Центр образования № 1679 »,Северный административный округ,Коптево,"Новопетровская улица, 1А",db311601-126f-44dd-b21d-49255231a45e,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.519310,55.828190
14020826,Велосипедная парковка № 38018 «Кадетская школа № 1702 »,Северный административный округ,Головинский,"улица Зеленоградская, 9",986a5bec-2d41-4487-8366-c4671aa084f6,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.515717,55.865333
14020827,Велосипедная парковка № 38019 «Центр образования № 1884 »,Северный административный округ,Западное Дегунино,"Дегунинская улица, 17А",12534bdd-e47b-48d1-897d-887d1f397e1f,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.529582,55.867738
14020828,Велосипедная парковка № 38020 «Школа № 2043»,Северный административный округ,Бескудниковский,"Бескудниковский проезд, 4А",5633bd8a-6b4a-459a-b1d2-5bfdf3f2262d,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.554477,55.875506
14021094,Велосипедная парковка № 39002 «Школа № 819 »,Северо-Западный административный округ,Южное Тушино,"улица Свободы, 26",c21548c3-7927-4b62-97f3-78cdf931d121,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.455903,55.839310
14021095,Велосипедная парковка № 39003 «Школа № 1005»,Северо-Западный административный округ,Щукино,"улица Авиационная, 71-3",296e20c2-960f-4dee-a225-b7bc1a164e54,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.452431,55.807957
14021096,Велосипедная парковка № 39004 «Школа № 1056»,Северо-Западный административный округ,Южное Тушино,"улица Штурвальная, 7-2",7be61a24-1f62-4534-9646-642ca27ec382,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.444465,55.848240
14021097,Велосипедная парковка № 39005 «Школа № 1057»,Северо-Западный административный округ,Северное Тушино,"улица Героев Панфиловцев, 45-3",1f7c455c-a9c1-47c9-8660-2851e7db4adc,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.413383,55.853279
14021099,Велосипедная парковка № 39007 «Школа № 1387» (1),Северо-Западный административный округ,Куркино,"улица Соколово - Мещерская, 27",f8771905-8cc1-4e7a-ae94-869e4a9c98d8,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.383004,55.904139
14021100,Велосипедная парковка № 39007 «Школа № 1387» (2),Северо-Западный административный округ,Куркино,"улица Соколово - Мещерская, 27",c3ddcc17-9736-444d-aaeb-061243bcc4ab,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.383198,55.904394
14021102,Велосипедная парковка № 39009 «Гимназия № 1522 »,Северо-Западный административный округ,Хорошёво-Мнёвники,"улица Народного Ополчения, 16-4",42e925a1-a9f1-4718-9353-66490909c31c,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.482557,55.773666
14021107,Велосипедная парковка № 39016 «Лицей № 1571 »,Северо-Западный административный округ,Северное Тушино,"улица Фомичевой, 1-1",21d4947e-331a-4d4b-8b3d-6cf841e57dad,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.446711,55.858010
14021108,Велосипедная парковка № 39017 «Лицей № 1571 »,Северо-Западный административный округ,Северное Тушино,"улица Свободы, 81-6",8e3c5b84-5504-403b-a15c-c0ec8d47dce9,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.442467,55.863243
14021138,Велосипедная парковка № 29006 «Библиотека № 55»,Северо-Западный административный округ,Покровское-Стрешнево,"улица Габричевского, 8",27ff212d-b74d-41ac-ac95-5aae046291ce,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.459184,55.816079
14021139,Велосипедная парковка № 28011 «Кинотеатр Прага»,Северный административный округ,Савёловский,"Нижняя Масловка, 10",31ebf89e-d65f-4a6e-97a3-705fb1d093fe,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.578250,55.792409
14021230,Велосипедная парковка № 11002 «МФЦ района Коптево»,Северный административный округ,Коптево,"Соболевский проезд, 20",2669060e-ab37-4dc3-a0b3-ed5858fce516,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.524350,55.835237
14023752,Велосипедная парковка № 26002 «Музей - усадьба «Измайлово»»,Восточный административный округ,Измайлово,"Городок Имени Баумана, 2, строение 14",bbaf4e48-56d9-4841-aad8-552aa4177935,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.763307,55.792138
14023783,Велосипедная парковка № 11015 «МФЦ Орехово - Борисово Южное»,Южный административный округ,Орехово-Борисово Южное,"Каширское шоссе, 144Ю, корпус 3",88701255-5b16-4938-b72c-744d021cdd8a,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.721517,55.596527
14044262,Велосипедная парковка № 37038 «Школа № 352» (2),Северо-Восточный административный округ,Ростокино,"Малахитовая улица, дом 15",e9524418-248f-4de8-a1fa-c69eb191fa74,10,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,ГКУ Центр организации дорожного движения Правительства Москвы,(495) 361-78-07,37.664228,55.831717
